ID	acnu_18S	acnu_28S	taxo
Oki88	NA	JN811293	Acantharea_F3_Xiphacantha_quadridentata
Oki15	NA	JN811258	Acantharea_F3_Phyllostaurus_cuspidatus
Oki66	JN811189	JN811282	Acantharea_F3_Phyllostaurus_quadrangulus
Oki17	JN811169	JN811259	Acantharea_F3_Xiphacantha_quadridentata
Ei25	NA	JN811234	Acantharea_F3_Phyllostaurus_cuspidatus
Oki48	NA	JN811273	Acantharea_F3_Phyllostaurus_cuspidatus
Ei20	JN811149	JN811231	Acantharea_F3_Phyllostaurus_cuspidatus
Ei53	JN811160	JN811243	Acantharea_F3_Phyllostaurus_cuspidatus
Ei51	JN811159	JN811242	Acantharea_F3_Amphiastrus_tetrapterus
Ei40	JN811154	JN811237	Acantharea_F3_Phyllostaurus_quadrangulus
Ei14	JN811148	JN811230	Acantharea_F3_Phyllostaurus_cuspidatus
Ei58	NA	JN811245	Acantharea_F3_Phyllostaurus_cuspidatus
Vil142	JN811226	JN811334	Acantharea_F3_Phyllostaurus_cuspidatus
Oki100	JN811201	JN811297	Acantharea_F3_Xiphacantha_quadridentata
Vil85	JN811214	JN811322	Acantharea_F3_Phyllostaurus_quadrangulus
JX188316	JX188316	NA	RAD-A_Group-a_Uncultured
EU287795	EU287795	NA	RAD-A_Group-a_Uncultured
AY665068	AY665068	NA	RAD-A_Group-b_Uncultured
KJ762500	KJ762500	NA	RAD-A_Group-b_Uncultured
KJ762813	KJ762813	NA	RAD-A_Group-b_Uncultured
KJ759858	KJ759858	NA	RAD-C_Group-b_Uncultured
KJ763863	KJ763863	NA	RAD-C_Group-b_Uncultured
KJ757891	KJ757891	NA	RAD-C_Group-b_Uncultured
JX188302	JX188302	NA	RAD-C_Group-b_Uncultured
KJ757243	KJ757243	NA	RAD-B_Group-Ib_uncultured
KJ761637	KJ761637	NA	RAD-B_Group-Ib_uncultured
KJ761500	KJ761500	NA	RAD-B_Group-Ib_uncultured
KJ761403	KJ761403	NA	RAD-B_Group-If_uncultured
EF172906	EF172906	NA	RAD-B_Group-II_uncultured
KJ763903	KJ763903	NA	RAD-B_Group-II_uncultured
KF129915	KF129915	NA	RAD-B_Group-II_uncultured
JX188365	JX188365	NA	RAD-B_Group-II_uncultured
AY665078	AY665078	NA	RAD-B_Group-III_uncultured
EU287793	EU287793	NA	RAD-B_Group-III_uncultured
KJ760619	KJ760619	NA	RAD-B_Group-IVe_uncultured
KJ757578	KJ757578	NA	RAD-B_Group-IV_uncultured
KJ761686	KJ761686	NA	RAD-B_Group-IV_uncultured
KJ757270	KJ757270	NA	RAD-B_Group-IV_uncultured
KJ757735	KJ757735	NA	RAD-B_Group-IV_uncultured
AY268045	AY268045	NA	RAD-B_Taxopodida_Sticholonche_sp
HQ651785	HQ651785	NA	RAD-B_Taxopodida_Sticholonche_sp
KJ762797	KJ762797	NA	Spumellaria_6_uncultured
KJ762533	KJ762533	NA	Spumellaria_6_uncultured
GU821243	GU821243	NA	Spumellaria_6_uncultured
GU820872	GU820872	NA	Spumellaria_6_uncultured
GU822576	GU822576	NA	Spumellaria_5_uncultured
KP175032	KP175032	NA	Spumellaria_5_uncultured
KJ762723	KJ762723	NA	Spumellaria_5_uncultured
KJ761107	KJ761107	NA	Spumellaria_5_uncultured
KJ760904	KJ760904	NA	Spumellaria_5_uncultured
KJ761666	KJ761666	NA	Spumellaria_5_uncultured
HQ651792	HQ651792	NA	Spumellaria_Astrosphaeridae_Heliosphaera_aff_actinota
Osh34	MT670497	NA	Spumellaria_Astrosphaeridae_Heliosphaera_bifurcus
AB284518	AB284518	NA	Spumellaria_Astrosphaeridae_Heliosphaera_aff_actinota
HQ651782	HQ651782	HQ651782	Spumellaria_Astrosphaeridae_Heliosphaera_aff_actinota
AB490706	AB490706	NA	Spumellaria_Astrosphaeridae_Astrosphaera_hexagonalis
AB490705	AB490705	NA	Spumellaria_Astrosphaeridae_Astrosphaera_hexagonalis
Vil173	MT670511	NA	Spumellaria_Astrosphaeridae_Cladococcus_sp_A
Vil499	MT670546	MT670479	Spumellaria_Astrosphaeridae_Liosphaera_sp_A
Vil497	MT670545	MT670478	Spumellaria_Astrosphaeridae_Arachnospongus_varians
Vil228	MT670518	MT670464	Spumellaria_Astrosphaeridae_Cladococcus_scoparius
Vil243	MT670522	MT670466	Spumellaria_Astrosphaeridae_Cladococcus_viminalis
Vil244	MT670523	MT670467	Spumellaria_Astrosphaeridae_Cladococcus_viminalis
Vil238	MT670520	NA	Spumellaria_Astrosphaeridae_Clacococcus_irregularis
KF130443	KF130443	NA	Spumellaria_1_uncultured
JX188300	JX188300	NA	Spumellaria_1_uncultured
EU562119	EU562119	NA	Spumellaria_1_uncultured
GU821466	GU821466	NA	Spumellaria_2_uncultured
GU821583	GU821583	NA	Spumellaria_2_uncultured
GU820920	GU820920	NA	Spumellaria_2_uncultured
GU822737	GU822737	NA	Spumellaria_Hexastyloidea_uncultured
Vil484	MT670544	MT670477	Spumellaria_Hexalonchidae_Stigmostylus_ferrusi
Mge17-15	MT670484	NA	Spumellaria_Hexalonchidae_Hexacontella_sp
HQ651796	HQ651796	NA	Spumellaria_Hexalonchidae_Hexacontium_sp_A
HQ651797	HQ651797	NA	Spumellaria_Hexalonchidae_Hexacontium_sp_A
HQ651794	HQ651794	NA	Spumellaria_Hexalonchidae_Hexacontium_sp_A
